Country/Region,Population,Area,Maximum,"Per 100,000 inh.",% Confirmed,Blank 2,Comments,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26
US Connecticut,3565287,12542,3083113,86475.8713674383,28.2460513779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,47,56,74,95,105,136,145,151,166,193,700,798,2300,3100,4500,5300,5898,6637,8400,10200,11900,14600,16157,16600,18300,20015,22029,23270,26686,29036,29036,33502,36288,39831,41220,44309,45841,50143,53122,55462,55462,58213,62806,64192,69918,71497,74038,77602,79811,79811,92745,94818,97133,100257,100257,102493,102493,108643,111447,116174,120541,123569,130192,132508,138424,142943,149562,155908,164755,170607,177679,185520,190718,196447,202328,208367,214136,221726,225362,228869,235525,241393,246935,250046,261393,270610,276436,281525,287387,303429,309023,313695,318022,323004,331071,345132,350167,357351,362273,368708,373279,380293,392088,395887,397930,404281,402797,409270,417120,429824,439030,445360,466822,478358,489809,500114,500086,500026,524568,530513,537826,546003,558442,558461,558388,589394,591980,604123,615658,630083,630108,629969,657131,662796,662837,674406,687888,713072,713072,713072,745051,752688,765776,778728,793996,793996,793996,829182,836271,848109,857098,864633,864633,864633,902957,911299,919283,927335,937690,937690,937690,981968,992731,1002420,1014840,1022370,1022370,1022370,1077716,1082706,1098035,1113496,1127506,1127506,1127506,1173096,1192338,1203979,1218216,1237658,1237658,1237658,1237658,1286887,1292847,1309460,1330984,1330984,1330984,1379988,1390771,1394405,1408273,1422148,1422148,1422148,1467766,1479824,1489898,1505473,1519151,1519151,1519151,1571206,1581592,1593993,1604380,1676410,1676410,1676410,1726721,1744434,1752045,1779258,1796539,1796539,1796539,1896944,1910348,1918724,1934569,1967633,1967633,1967633,2039597,2054262,2070126,2092263,2115744,2115744,2115744,2207937,2221034,2235373,2257892,2288584,2288584,2288584,2367994,2367994,2401877,2459921,2489604,2489604,2489604,2579578,2602262,2639205,2663481,2706667,2706667,2706667,2793152,2826458,2860684,2897280,2929060,2929060,2929060,3038489,3051730,3083113,3083113
US Delaware,973764,5047,412412,42352.3564231169,12.2818428184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,15,17,18,27,34,42,42,44,52,61,66,74,81,92,104,127,151,166,199,250,268,2480,4015,4383,4959,5445,6467,6994,6994,8556,8556,9890,11741,11103,11103,11820,12304,13102,13350,14017,14017,14794,15253,15866,16553,16912,17379,17698,19249,19616,21180,21538,21820,22585,23112,23737,24110,24680,26468,27326,28264,29296,31039,31928,33291,34753,36857,38278,39758,40865,42458,44132,45412,47542,48986,50534,51870,53896,54914,55421,56801,57533,59329,60671,62447,64062,64920,65909,66729,67635,68997,69947,70753,71745,74033,77694,80099,81787,84686,86074,86587,88684,90434,92416,94974,96723,97536,98201,100992,102100,104262,106346,109931,110881,111384,114918,118343,120693,123941,127179,128685,129034,130205,132708,134115,137409,139363,141600,143388,144870,148610,150757,152995,152995,158347,159433,162351,164326,166922,169993,173059,174623,177016,178863,181047,182896,184911,187659,189308,190700,192703,194784,195894,198119,200672,202200,202200,205628,207475,208761,210385,212638,213845,214869,216956,218008,219876,221845,223501,225328,227095,228059,231041,232884,234661,236849,238423,240530,244548,246642,248632,250783,252602,253970,253970,256698,256698,259585,261296,262504,264159,265905,267168,268638,269711,271421,273213,274837,276044,277916,279374,280399,282024,283815,285488,286562,288217,290283,292458,294089,295835,297513,299173,301502,304367,307645,310570,314281,315752,316823,318633,321142,324469,327296,329018,330726,331480,333059,335112,337276,339341,342071,343141,344939,346423,348527,350728,352348,354670,355667,356664,358386,360881,362931,365279,367580,369131,370625,372234,375223,377364,379815,382909,385476,386673,389021,393282,396943,400436,402841,406207,408654,412412
US District of Columbia,705749,158,663201,93971.2277311055,31.9830729167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,8,11,15,22,25,30,30,59,95,113,126,169,192,572,583,1055,1229,1332,1606,1857,2164,2515,2811,3083,3757,3848,5070,5584,6438,6834,7453,7823,8283,8724,9355,10039,10640,10934,11284,11525,12150,12643,13268,13699,14113,14939,15502,15930,16533,17302,18068,18416,18885,19229,20079,21135,22004,23102,23795,24329,24984,25856,27115,28183,29570,30261,31050,31658,32999,34339,35532,36526,37825,39374,40419,41756,42993,51991,51991,40803,42055,42697,43514,43858,45629,46483,47263,47701,49562,51096,51861,53678,54547,55766,57152,58192,59288,61953,63036,64530,65846,67126,70086,72199,73791,77953,79522,82004,83302,84173,86731,88123,89271,93132,95360,97295,100035,101063,102809,104554,105993,107650,110377,114289,115923,120884,124050,126883,130220,133916,137944,140242,141607,144955,147765,151740,155711,159572,162021,165260,169009,171598,174148,178022,180049,182990,188741,193781,197192,198815,200127,202825,205983,208725,213334,217942,220391,224749,226741,229649,236305,239216,242852,245655,249478,251659,253985,259058,262440,266046,269401,271622,273748,276704,281549,285756,288089,290682,292844,294797,298759,303351,307864,311510,313715,316598,317660,319188,321436,327437,330641,332148,336280,338241,341318,347118,350877,355144,357744,361633,363448,367867,373586,377979,381159,383048,386396,387860,390180,394118,397549,399825,401568,410029,412656,416816,422225,429099,436167,438819,443081,448262,450614,455787,462968,466805,469040,473807,476443,479435,485753,491553,496232,498190,502538,505407,509864,514130,514252,525246,528174,533419,537091,540502,546323,550585,555449,558814,561833,567072,571530,577601,583319,588620,590352,596742,601412,607834,612204,618784,630532,639461,648922,650235,663201
US Florida,21477737,138887,7028635,32725.2121580593,7.4223459168,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,38,63,108,130,153,240,321,327,509,529,769,806,1089,1436,1843,2256,7107,8721,12092,14332,16862,25726,30706,38545,42954,52985,59897,66045,76834,90953,101053,112498,121958,136582,141852,151404,161551,171779,181802,194819,201948,211725,217975,233541,245164,254730,264925,275670,287283,295538,315661,331870,343490,355249,365701,372310,381244,401477,414758,426952,442982,464435,478813,491511,511875,526228,537531,559637,577849,593328,607386,608172,628261,650365,674785,714338,769779,812346,833862,854860,869463,906564,921547,931990,949998,981630,993184,1019696,1038780,1048117,1079170,1105146,1132757,1171976,1214161,1232616,1256433,1277022,1304718,1333601,1368010,1406729,1427900,1457933,1483200,1508240,1529290,1557644,1596791,1614807,1638584,1666134,1718423,1766536,1827125,1879321,1910264,1942450,1977791,2028953,2077966,2142975,2196474,2230116,2265322,2316293,2353439,2417485,2471071,2569628,2634778,2680436,2730957,2810416,2875274,2926339,2996899,3046422,3093889,3148729,3204823,3270393,3329980,3380008,3424914,3473624,3519964,3572195,3621059,3672274,3713780,3745643,3777214,3807655,3850057,3889488,3938262,3977963,4006152,4041501,4079791,4114321,4154617,4196716,4226587,4246806,4272919,4300083,4329557,4360949,4395533,4422349,4440838,4460198,4486209,4510715,4540945,4568414,4592775,4608697,4668942,4686786,4710596,4732856,4756593,4777505,4794393,4809556,4823881,4842846,4869297,4894199,4916421,4933481,4960947,4976056,5003024,5030285,5060515,5087026,5105183,5124209,5147851,5171306,5197763,5226712,5245111,5253332,5281719,5292719,5317293,5342929,5367833,5388166,5403966,5424811,5450906,5480893,5509242,5509242,5541455,5558193,5584266,5606014,5634218,5664298,5694637,5712864,5729739,5758297,5760403,5812154,5855896,5928115,5942740,5974725,5991638,6030177,6068498,6073881,6126792,6175891,6200385,6225760,6247167,6291105,6325976,6345029,6389831,6410130,6434241,6466981,6493713,6522985,6554952,6599305,6625477,6663538,6704999,6755524,6802690,6850174,6898401,6928502,6982425,7028635,7028635
US Georgia,10617423,148959,4226691,39809.0101524635,10.211643139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,6,7,12,17,22,31,42,66,99,121,146,1508,1831,2386,3064,4020,5069,5484,6179,8926,9865,11051,12564,12724,16181,20326,22957,25265,26294,27832,31274,33713,38787,41085,46147,51715,54453,57021,61795,64090,67939,71684,74208,79933,84328,88140,94072,101062,107176,119014,123223,127169,140020,143778,149044,168367,174800,175096,183325,200883,204137,217303,227567,235324,243547,251288,262179,273904,285881,301874,321069,351175,364289,378156,402940,407731,427249,453537,481954,513545,514945,440756,444646,450271,454838,465525,471631,474287,482712,496331,507788,522857,539884,549375,557183,570955,584241,591958,599680,620790,630496,634978,650467,663204,670306,694384,698307,708026,731261,743234,757924,771028,789813,806938,823117,833878,855038,883239,901217,926359,949185,958953,979452,1000409,1019422,1046348,1064873,1083416,1107967,1131034,1154983,1178222,1198678,1231806,1255319,1273781,1295291,1316844,1336938,1382444,1407840,1428945,1452963,1487326,1512464,1541389,1574687,1596085,1624640,1646401,1664412,1695224,1724762,1753129,1797966,1835048,1861962,1895485,1916742,1942610,1970053,1988066,2005273,2027417,2060319,2075697,2096835,2120102,2149170,2171884,2205181,2230850,2248901,2268837,2286984,2312179,2327490,2343634,2368498,2381637,2410665,2432125,2460729,2479568,2488841,2511826,2527779,2542594,2558319,2610171,2602202,2615247,2629090,2654121,2679891,2701952,2735389,2750822,2770863,2783427,2803215,2824816,2847494,2872355,2886269,2898498,2910833,2933679,2954392,2970013,3001381,3018618,3032757,3044792,3058187,3083121,3112629,3132559,3151039,3168126,3180548,3204308,3229781,3254270,3280668,3298458,3314279,3327836,3338315,3367534,3407623,3426110,3445032,3461388,3474891,3495407,3516162,3559307,3586394,3587586,3596700,3618830,3647278,3672160,3691733,3715270,3733960,3749894,3772524,3786046,3807413,3838550,3865939,3887286,3900708,3954422,3975069,4010676,4043126,4086142,4112780,4139509,4173943,4195929,4226691
US Guam,162742,543,82752,50848.5824187979,12.2631890931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,46,65,81,100,123,153,190,233,270,308,350,354,390,410,440,483,524,543,565,605,618,650,687,721,792,826,826,903,944,976,1003,1073,1076,1076,1124,1166,1220,1318,1373,1449,1528,1566,1682,1847,2108,3005,3188,3302,3391,3490,3627,3715,3777,3794,3794,3989,4091,4262,4379,4515,4519,4604,4723,4827,4972,5064,5279,5359,5569,5569,5684,5685,5962,6095,6102,6102,6316,6391,6727,6984,7374,7463,7463,7729,7976,8282,8380,8527,8543,8543,8758,9032,9198,9588,9715,10010,10010,10404,10651,11038,11418,11892,12151,12378,12914,13315,13784,13933,14549,14954,14954,15549,15911,16140,16532,16866,16979,16979,17342,17537,17827,18011,18252,18253,18253,18571,18757,19082,19464,19469,20032,20032,20481,20792,21329,21542,21882,22052,22052,22573,22923,23435,23877,24362,24529,24529,25076,25616,26236,26680,27096,27096,27773,28773,29226,29750,30692,31516,31516,32591,33471,34402,35354,36356,36926,37460,37460,37884,38322,38771,39490,40112,40741,40741,40741,41412,42095,42618,43013,43363,43363,43894,44329,44851,45253,45653,45958,45958,46354,46828,47251,47687,48256,48719,48719,49211,49727,50114,50548,51118,51756,51756,52365,53012,53488,54071,54495,54816,54971,55690,56368,56894,57465,58122,58680,58968,59549,60506,61243,62287,62906,63240,63494,64454,65045,65664,66385,67029,67452,67563,67664,69028,69756,70467,71104,71507,71996,72954,73859,74549,75449,76292,76757,77376,78133,78948,79060,79388,79788,79812,79885,80999,81600,82709,82752
US Hawaii,1415872,16635,313034,22108.9194503458,17.5065152956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,7,10,107,109,150,161,311,3011,3666,4447,4452,4463,4477,7000,8000,8675,8929,10464,10491,12278,12955,13526,13542,15149,15751,16149,17531,17968,18844,19420,19803,20700,21857,22343,23470,24175,24696,25346,26128,26887,28040,28483,29010,29183,29618,30640,31094,31985,32950,33866,33999,35199,35541,36618,36262,37270,37683,37939,38365,38881,38776,40883,41674,42045,45023,46304,47149,47985,48821,49572,50371,50371,51202,51839,52824,54014,54620,48487,48921,49508,50638,52336,53257,54055,55147,55474,56173,57295,58579,59338,60322,61474,62028,63243,64374,65744,66734,67860,68711,69340,70539,71935,73005,74301,75478,77155,77743,79058,80290,81618,83476,84325,85058,85673,87096,89152,90595,92234,93920,95170,96070,97557,99387,101204,102995,104635,105956,106783,108182,108813,111291,112790,114052,114115,116387,117559,119212,121368,123251,126641,127279,130712,132526,134909,135284,139246,141944,142096,145836,150233,150587,153617,156266,159299,161948,164199,166113,168672,168672,173550,176184,178824,180850,183157,185675,188153,190910,193935,196719,198182,202186,207431,213722,221391,229796,234903,237012,237917,239403,246614,250173,255533,259665,262041,263142,265634,269463,279899,280008,281577,282739,284228,286944,287034,290146,291836,293741,296593,296680,298642,300459,302213,304149,306112,307028,308277,308385,308486,308651,308722,308823,308865,308926,309025,309115,309200,309296,309378,309415,309503,309580,309682,309822,309911,310030,310067,310131,310192,310269,310369,310437,310520,310597,310684,310839,310938,311076,311204,311332,311395,311473,311590,311687,311805,311912,312006,312058,312127,312234,312352,312514,312636,312749,312809,312917,313034
US Idaho,1787065,214045,478886,26797.3464871171,4.9623949515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,41,41,67,93,131,176,179,270,353,468,470,613,911,1217,1356,1937,1960,2188,2857,3572,4282,4706,5712,6601,7282,7945,8870,10261,10995,11246,11898,12531,13094,13764,14308,14881,15114,15398,16242,16652,16947,17441,17445,17807,18170,19172,19447,19481,19498,20024,20052,28382,28846,29225,29490,29807,29807,30308,30545,30890,31270,31806,32142,32142,32705,33128,33754,34745,35688,36672,36672,38069,38567,38888,39595,40609,41406,41406,41406,43017,43875,44761,45424,46697,46697,48133,48942,49805,53624,55239,56041,56041,57677,59052,60115,61432,62658,62980,62980,65647,66784,68012,69545,71196,72968,72968,76164,77835,80539,82370,84056,86345,86345,89303,91040,95121,98709,101067,104266,106465,108541,111331,114620,118078,122349,125261,127132,130284,133914,136863,140319,142505,146186,147888,151071,153971,156826,160193,163440,166224,167994,170717,173042,175519,179110,181873,184299,185337,187778,191887,194593,198700,202971,204831,206476,208405,212244,214613,218221,221012,223222,224487,226869,229123,231147,233780,235853,237280,238585,240095,244862,246671,249187,251050,254325,256013,257689,259096,261400,263727,265645,267172,268189,269238,270534,272164,273816,275610,277123,278613,280170,281642,283365,285552,288195,289928,292286,294071,295401,297443,299882,302177,304781,306854,308542,310441,313018,315314,318543,320578,322409,324236,326191,328861,331475,335790,338770,340623,343003,345863,348111,350972,354136,356140,359107,361402,363972,366607,369667,372818,375527,377823,380532,382784,385806,388785,391890,394191,396267,398739,401774,404810,408235,412887,415721,418504,420811,424391,428367,431982,435863,439714,442233,445207,448393,452950,457120,461195,464547,467362,470788,474042,478886
US Illinois,12671821,143793,10212093,80588.9934840462,14.6412244494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,170,185,197,197,198,263,263,291,326,362,513,1025,1499,2051,3147,4281,6241,8320,9856,11469,14209,16631,21542,25491,27762,30446,35225,40384,43656,48048,53581,58983,62942,68732,75066,80857,87527,92149,100735,105768,110616,116929,122589,130163,137404,143318,148358,154997,164346,173316,189632,201617,214952,227628,242189,256667,269867,284688,299896,319313,333147,346286,361260,379043,399714,416331,429984,442425,471691,489359,512037,538602,561649,581944,603241,621684,642713,672020,697133,722247,747921,769564,786794,803973,829966,851762,877105,898259,918273,934704,959175,982016,1000919,1022074,1042774,1059597,1079906,1100726,1123051,1147962,1169806,1191846,1210473,1229202,1259189,1284693,1312003,1337968,1361784,1380003,1400510,1429841,1461527,1492005,1522242,1546031,1572949,1604018,1637108,1667370,1701757,1735593,1762828,1783962,1810956,1843698,1879878,1912875,1945220,1984114,2014126,2042572,2080733,2123739,2167474,2213573,2245686,2280284,2310029,2349662,2389368,2433765,2471965,2512809,2543376,2571707,2609894,2651028,2700849,2740658,2779603,2808078,2850676,2897344,2939030,2985918,3033934,3075288,3107641,3149003,3191101,3237107,3286680,3331094,3368183,3406429,3440604,3490903,3542515,3594336,3651102,3705453,3741608,3782467,3832829,3877339,3926007,3974791,4018484,4065863,4088824,4121575,4162370,4311869,4373804,4420300,4449275,4480638,4528667,4577649,4634477,4691071,4737961,4773891,4812922,4865233,4923033,4985054,5059340,5107351,5145585,5187414,5233805,5295876,5365960,5431177,5481999,5523141,5568765,5627311,5692926,5765867,5837501,5889157,5927695,5977208,6036028,6108519,6180417,6246673,6310720,6358299,6414292,6466961,6534047,6622355,6699844,6779140,6827824,6886901,6953692,7034669,7118051,7201568,7273665,7330929,7393003,7463755,7546811,7643468,7736104,7814562,7882680,7965115,8036972,8122987,8215129,8313547,8404304,8469064,8571019,8664483,8765100,8871640,8986010,9070841,9161453,9255658,9359227,9472674,9588698,9708982,9801419,9892981,9990304,10104537,10212093
US Indiana,6732219,92789,2145727,31872.5074154599,6.7286527812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,36,43,64,73,89,121,139,159,193,380,554,833,1494,1960,2931,3356,4651,6936,8407,9830,11658,13373,14375,16285,17835,19800,22652,26191,28764,30869,32133,35040,39215,42489,44539,46017,48396,51115,54785,56873,61142,64639,67264,69470,72040,75553,79774,81708,84476,87181,91550,94998,99639,104141,108859,113297,115834,120496,124782,130128,135686,140029,146688,150510,154083,160239,165448,171358,177243,183912,189330,195738,202995,208561,214933,220801,226251,230749,235333,242287,248713,256395,261546,265896,271919,277815,285234,291638,297530,304263,309503,315390,320094,327342,335180,340637,348391,355829,363745,371182,384722,392887,401802,411920,418916,426376,431883,444252,453890,463017,470535,476519,484196,489716,496835,504153,512288,521722,526592,530075,535857,542292,550562,558146,564647,570409,578409,586589,595558,604635,614455,626880,635660,644805,654413,666283,678749,690274,701311,707791,716809,724238,735848,747383,758606,769043,775482,785018,792225,804345,817104,828466,841125,852111,861655,866994,877970,886489,897615,906851,914633,928614,934033,945471,958432,969646,977802,1002038,1010981,1022537,1034746,1044049,1055793,1065356,1076947,1083765,1092596,1103038,1117427,1129078,1138868,1146572,1150863,1158018,1164141,1183104,1206980,1238984,1247293,1254731,1261892,1269650,1281438,1292615,1301940,1308645,1315440,1322819,1331608,1341462,1350390,1358860,1366294,1371355,1379850,1387731,1398522,1408475,1418063,1425175,1432219,1440917,1451391,1463436,1474639,1486182,1495852,1503923,1511060,1521402,1532949,1545927,1555437,1564722,1572350,1581109,1594365,1605596,1618331,1629468,1638232,1646542,1657090,1671093,1684783,1699008,1709944,1722842,1733575,1748496,1761947,1777105,1794398,1809940,1823029,1837630,1853700,1876317,1893070,1917951,1938289,1952202,1969088,1989456,2009763,2030938,2053143,2072690,2090728,2107744,2126395,2145727
US Iowa,3155070,144669,1057718,33524.3909009943,5.3667840435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,29,40,59,81,99,100,101,105,106,112,121,687,1117,1305,2148,2439,2723,2757,3975,4673,5349,6586,7385,7853,8668,9453,10240,10841,11599,12718,13966,14973,15953,17132,17592,18696,18885,19869,20675,21792,22947,24550,25820,27615,28244,29262,31973,34350,36090,38150,39823,41337,42667,45592,46349,53186,57161,60569,63171,66427,70261,71476,74174,77792,81288,85719,89294,93566,96300,100241,103148,107648,110748,116565,120250,123941,127756,132715,135004,139526,142933,147320,150423,156296,159081,163690,164445,174935,180663,184714,188192,193622,197723,202829,208539,214544,219608,224634,227388,230638,235131,240931,246649,250207,257152,258632,264703,269959,277054,283643,289752,295915,300845,304188,309790,317538,321461,329011,332472,335462,339298,346351,354659,362248,368361,374413,376716,380408,387312,396451,402453,403729,415491,418544,422433,426436,436286,441873,446263,450599,454845,457435,462712,469098,474412,478970,484118,486475,490371,496428,503120,508700,513547,518810,521387,523920,528148,534813,540237,546074,551193,553984,557098,562322,568191,573139,578355,581976,584098,587743,593808,601643,607159,612579,617095,620872,623547,629654,634758,642335,648511,652937,655846,658977,661575,667869,673597,678890,683445,686636,689612,695111,701438,708031,713775,718279,721595,725082,731853,738580,744981,750898,754623,755316,758388,764867,770943,775992,781309,785567,788014,790843,796057,803037,808801,814078,819460,822140,824869,829253,835606,822775,827884,832536,835573,837718,842542,848270,852949,859419,863361,866323,869020,873362,878864,884252,890432,897175,900994,903136,908054,916404,922017,928259,935839,945621,950191,958353,964756,971644,979886,988601,992851,997034,1003986,1011476,1019474,1027073,1033800,1040373,1044789,1050640,1057718
US Kansas,2913314,211754,799185,27432.1614491263,5.4073154394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,12,12,18,42,45,99,99,143,177,397,433,451,461,472,481,499,2184,2486,3037,3431,3932,4513,4922,5424,5893,6611,7074,7578,8223,9084,9514,10183,10775,11414,12343,13253,13864,14147,14668,16122,16901,17676,18130,18761,19101,20203,21318,23588,25199,26227,27167,28090,29458,31626,33034,34942,36778,38603,40092,42114,44822,47708,49933,52505,54109,54109,57628,57628,61592,61592,61592,66990,66990,71203,71203,76434,76434,76434,81399,81399,84488,84488,94949,94949,94949,95241,103312,108053,108053,113653,113653,113653,119509,119509,123742,123742,129152,129152,129152,136962,136962,142124,142124,147649,147649,147649,155013,155013,161705,161705,167859,167859,167859,176725,176725,183173,183173,191561,191561,191561,202219,202219,208482,208482,217779,217779,217779,231175,231175,239374,239374,249353,249353,249353,261531,261531,268686,268686,277967,277967,277967,278936,278936,284949,284949,292507,292507,292507,301839,301839,308718,308718,316512,316512,316512,326669,326669,334563,334563,343043,343043,343043,354262,354262,359840,359840,366315,366315,366315,386957,386957,395097,395097,403147,403147,403147,413249,413249,419247,419247,427205,427205,427205,436686,436686,441414,441414,448930,448930,448930,458381,458381,464226,464226,474749,474749,474749,484691,484691,492281,492281,502770,502770,502770,513909,513909,521450,521450,531117,531117,531117,541106,541106,549398,549398,560189,560189,560189,572081,572081,579827,579827,589189,589189,589189,598394,598394,605509,605509,616262,616262,616262,625931,625931,633033,633033,642782,642782,642782,655267,655267,663680,663680,676320,676320,676320,689982,689982,703647,700505,706787,706787,706787,733756,733756,748261,748261,763893,763893,763893,784288,784288,799185,799185
