Country/Region,Population,Area,Latest,"Per 100,000 inh.",% Confirmed,Blank 2,Comments,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26
US Connecticut,3565287,12542,23253,652.2055587671,0.2130332014,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,8.5,11,20,26,41,68,95,191,204.5,218,405,606,856,991,1264,1491,1959,2535,3059,3472,3712,4720,5067.5,5452,6491,7163,7907.5,8772,9247,9986,10042,10810,10861,11198,12060,11895,11903.5,11875,12909,12579,13686.5,13316,13383,13072,13234,12409.5,12323,12012,11816,11955,11846,11737,10139,10261,8526,8684,8490,8402,8285,7974.5,8021,8088,7764,7321,7677.5,8132,8162,7809,8022,7424,7229,7038,6914,7108,6970,6433,6095,5677,5319,4782,4627,4549,4074,4031,3820,3796,3500,3219,2876,3059,2902,2927,2972,2887,2492,2370,2338,2201,2097,1897,1787,1690,1720,1566,1533,1370,1212,1215,1127,1165,1143,1206,1160,1088.3333333333,1134.6666666667,1194,1134,1195,1215,1228,1155.3333333333,1132.6666666667,1148,1016,1064,1104,1176,1143.6666666667,1111.3333333333,1079,1063,1115,1023,1489,1483.6666666667,1478.3333333333,1473,1547,1904,1920,1917,1947,1977,2007,2014,2002,2013,1544,1557.3333333333,1570.6666666667,1584,1607,1166,1112,1087,1126.3333333333,1165.6666666667,1205,1145,1089,1187,1199,1280.6666666667,1362.3333333333,1444,1356,1514,1568,1598,1602.6666666667,1607.3333333333,1612,1751,1794,1777,1846,1786.25,1726.5,1666.75,1742,1651,1743,1831,1892.6666666667,1954.3333333333,2016,2025,2058,2177,2162,2223.4166666667,2284.8333333333,2346.25,2378,2444,2379,2261,2258,2255,2252,2298,2384,2356,2770,2878.6666666666,2987.3333333334,3096,3081,3049,3276,3451,3710.6666666666,3970.3333333334,4230,4368,4311,4286,4533,4655.6666666667,4778.3333333333,4901,5214,5507,5625,6014,6250,6486,6722,6940,7266,8418,8377,8863.6666666667,9350.3333333333,9837,10160.5,10502,11687,12073,12503.3333333334,12933.6666666666,13364,14350,15614,15453,17438,18100.6666666666,18763.3333333334,19426,20370.5,21655,22321,23344,23988.3333333333,24632.6666666667,25277,24293,24411,23253
US Delaware,973764,5047,6033,619.5546354147,0.1796658626,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,7,8,16,25,30,38,45,56,68,90,113,126,158,205,222,253,303,343,363,412,548,617,732.5,837,952.5,1077,1163,1265,1320,1361,1442,1646,1682,1873,1837.5,1865,1944.5,2003,2132.5,2101,2116,2097,2482,2537,2814,2641,2659,2595,2607.5,2670,2543,2440,2578,2631,2669,2701,2413,2403,2166,2297,2489,2455,2509,2462,2581,2666,2416,2447,2418,2413,2362,2400,2325,2144,1948,1863,1875,1828,1736,1648,1518,1360,1244,1155,1133,1007,954,960,935,937,807,766,735,718,732,753,838,836,833,848,827,833,874,844,862,962,1036,1071,1066,1232,1312,1315,1353,1473,1567,1573,1551,1635,1652,1578,1503,1495,1540,1383,1414,1433,1391,1339.5,1332,1330,1393,1550,1432,1486,1527,1507,1552,1575,1451,1448,1430,1422.5,1391,1504,1441,1243,1327,1285,1228,1223,1231,1278,1552,1519,1502,1481,1456,1347,1353,1325,1326,1320,1308,1263,1153,1009,743,953,892,893,942,906,935,982,1064,1148,1307,1346,1401,1490,1513,1377,1506,1508,1602,1685,1665,1614,1557,1523,1418,1453,1443,1481,1489,1430,1411,1452,1394,1379,1469,1571,1676,1677,1696,1705,1720,1735,1742,1842,1870,1900,1863,1852,1773,1787,1817,1850,1833,1859,1825,1846,1860,1849,1831,1879,1855,1927,1993,2027,2009,2033,2115,2101,2159,2225,2348,2411,2642,2740,2863,2950,2993,3265,3444,3677,3889,4126,4221,4400,4781,5063,5205,5303,5552,5653,6033
US District of Columbia,705749,158,2229,315.8346664324,0.107494213,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7.5,10,12,14,16,17,22,31,39,70,76,97,114,132,175.5,221,255,290,326,384,473,555,614,686,825,900,981,1074,1257,1292,1393,1474,1533,1554,1563,1611,1697,1719,1764,1795,1830,1887,1766,1838,1868,1921,1966,1937,1936,1909,1973,2182,2131,2223,2243,2224,2255,2293,2371,2403,2431,2497,2491,2478,2413,2213,2245,2107,2100,2112,2090,2134,1994,1864,1823.5,1836,1849,1822,1756,1667,1675,1678,1587,1452,1465,1332,1306,1303,1236.5,1164,1140,1131,1097,1116,992,966,942,932,831,783,753,715,688,669,620,591,570,531,507,481,493,509,518,487,483,463,462,457,475,514,520,558,585,599,614,619,661,686,680,747,779,824,858,887,892,906,916,933,952,999,973,981,1011,1011,1013,974,971,914,947,940,936,973,949,951,960,967,992,954,946,960,927,911,891,880,881,837,832,788,763,770,733,766,739,719,724,723,726,717,704,689,676,678,665,618,642,627,633,630,638,666,655,666,664,676,663,659,663,694,670,663,658,642,613,583,568,571,571,564,569,631,647,659,680,703,734,758,768,806,808,832,861,851,848,793,801,772,766,788,783,790,838,841,908,889,932,999,1043,1079,1103,1145,1183,1185,1234,1275,1267,1406,1433,1522,1548,1608,1626,1785,1864,1996,2016,2070,2150,2203,2236,2137,2229
US Florida,21477737,138887,95131,442.9284146649,0.1004597891,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,8,10,12,13,18,18,24,29,48,87,118,143,204,302,376,516,718,1015,1187,1466,1957,2486,3125,3793,4638,5463,6305,7238,8430,9569,10514,10979,11962,12685,13234,13732,14161,14520,14453,14523,14211,14076,14007,13809,13402,13352,12939,12792,12443,12624,12270,12001,11711,11537,11288,10905,10683,10303,10194,10249,10077,9799,9727,8857,8888,8774,8638,8496,8952,9230,9039,8816,9320,9206,9244,9138,9703,10084,10052,9916,10513,10410,10086,9908,10343,10615,10349,10395,10385,11119,11194,11488,11999,12846,12895,13550,14317,15372,15785,17509,18772,19832,21921,23139,24568,26862,29620,32845,34567,37207,41436,44758,51938,58996,65217,68820,72156,76274,83022,89033,96361,101600,105086,108587,113063,116962,119398,120138,126933,133777,136933,140380,144697,146547,145390,147919,152087,154051,153768,154990,156060,157831,151928,148525,148480,147808,143884,141610,140939,135610,130019,126113,121873,119334,114555,110853,107746,103092,99716,98491,94883,93980,90769,87460,85295,83725,82381,79324,76399,72316,69181,67255,64158,59000,56002,51737,48578,47378,46605,50305,48535,47506,46037,45370,44879,44467,43599,42668,41976,41848,41884,41732,41574,36830,36808,36594,36624,36541,36525,36384,37001,37589,37529,36734,36297,35749,34759,35225,34817,34095,33528,32771,32060,31795,31582,31532,32301,32345,32321,33181,33972,33420,34348,35083,35838,37053,37741,38026,39381,38943,41158,41923,43597,43238,45055,46624,47821,48646,50664,48979,51310,54188,55185,57411,58070,59602,59601,63872,64381,64437,66101,67494,68871,70993,76008,75969,78701,82096,84858,88539,92334,92089,94358,98178,100635,95131
US Georgia,10617423,148959,33719,317.5817710192,0.0814647664,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,7,12,17,22,31,41,65,98,120,145,195,277,407,493,577,747,994,1207,1477,1937,2297,2552,2688,3783,4441,5061,5411,5653,6047,6542,7792,8654,9041,9482,9793,9801,10506,10294,10349,10321,11363,11509,11654,11633,11063,10839,10946,10664,10536,10949,10598,10392,10636,10486,10076,10637,10301,10421,9830,9956,9927,9959,9837,10040,10014,10020,9709,9703,9411,8841,9099,8713,9010,8951,8966,9112,9600,9397,9417,9095,9089,9212,8989,9139,9285,9537,9486,9247,9442,9403,9177,9060,9153,9519,9559,9903,10113,10515,10695,10796,10871,11136,11065,11388,12500,12803,13431,14429,15401,16122,17212,18184,19529,21003,22213,24207,26797,28484,29510,30815,31136,32792,34509,35632,38216,39416,39716,41152,42672,43597,43566,44690,46553,47607,48511,48518,48412,49861,50190,50787,51027,50274,51089,50489,51011,51169,50140,50054,49860,48960,49411,48307,47603,48239,48643,48182,47536,47830,46382,45543,45156,43853,43426,43729,42269,41846,40626,38795,37353,37228,35766,34437,34406,33477,32590,31943,31610,31020,30631,30547,29724,29326,29250,27554,26996,26697,26049,25409,25147,25341,24866,24136,24443,23615,23383,23473,22956,23532,22871,22391,21923,21733,20968,20371,19944,19473,18970,18431,17897,17057,16770,16375,16429,16464,16361,16518,16396,16724,17030,16998,16575,16907,17216,17306,17633,17596,17788,17608,18128,18727,19336,19514,19570,20068,20424,20607,20375,21406,21424,21611,22151,22702,22833,22347,22220,22155,22300,22682,22669,23342,24280,24207,24967,25009,26877,27438,28273,29304,30610,31333,32039,32590,33308,33719
US Guam,162742,543,898,551.7936365536,0.1330764671,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,12,14,15,26,28,31,36,44,50,54,55,55,64,69,70,70,78,85,84,89,88,83,79,78,77.0909090909,75.1818181818,64.2727272727,56.3636363636,51.4545454545,49.5454545455,40.6363636364,21.7272727273,20.8181818182,12.9090909091,9,10,10,8,8.4090909091,8.8181818182,10.7272727273,11.6363636364,12.5454545455,13.4545454545,14.3636363636,16.2727272727,15.1818181818,16.0909090909,17,13.1666666667,11.3333333333,10.5,10.1666666667,9.8333333333,8,7.5,7,7,8.2,8.4,11.6,12.8,14,14.0833333333,14.1666666667,14.25,14.3333333333,15.6666666667,17,17.5,19,18.5,16.8,15.6,14.4,14.2,13,13.75,13.7,13.65,13.6,12.3,11,12,11,11.5,12,11.3333333333,10.6666666667,9,10,14,20.8,42.6,43.4,44.2,45,49,62,64,65.3333333333,67.3333333334,69.3333333333,73,79,87,86,66,71.5,77,78,76,64,62,61.6666666667,59.5833333333,57.5,53.75,46,34,28.5,27,22.5,18,24,23,23,27,28,30.75,33.5,36.25,38,40,41.5,52,50.5,49,48,59,65,74,72,72,72,85,98,123,146,142,148.5,190,202,210,307,356,381.5,405,489,550,671,755,785,838,855,837,870,895,856,852,877.5,865,792,729,638,614,576,544,538,532,519,519,485,455,446,447,448,477,477,417,423,463,463,463,477,475,505,543,582,594,606,624,633,671,703,702,706,780,823,853,877,921,918,949,1003,1072,1100,1122,1152,1119,1138,1166,1152,1125,1122,1090,1064,1015,937,926,935,948,936,938,1017,1137,1236,1289,1301,1296,1284,1431,1482,1422,1443,1412,1375,1363,1316,1129,1001,950,898
US Hawaii,1415872,16635,1444,101.9866202595,0.0807561098,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,7,10,14,16,26,36,47,54,75,88,93,104,118,149,168,194,194,242,259,282,303,315,310,320,340,336,345,335,324,300,309,272,256,234,223,209,197,176,157,154,136,117,107,103,92,83,77,66,46,40.5,37,39,34,33,29,28,26,27,26,25,19,19,19,19.5,19.5,16,17,18,12,12,11.25,9.5,8.75,6,10,11,12,12,12,12,11,8,22,30,31.75,32.5,38.25,41,45,57,72,76,83.5,87,90,107,125,130,139,140,137,150,158,160,149,171,164,177,182,184,186,196,209,214,252,259,280,292,328,321,343,347,366,365,359,355,358,363,347,341,360,391,420,463,468,493,573,678,777,843,861,1055,1173,1328,1424,1566,1726,1815,1927,2201,2447,2438.5,2432,2628,2800,2767,3018,3081,3044,2957,3010,3102,3346,3164,2948,3138.5,3287,3314,3297,3257,3044,3147,3244,3401,3337,3255,2975,3034,2994,2857,2763,2583,2495,2441,2325,2089,2037,1903,1792,1707,1659,1525,1594,1515,1477,1475,1461,1469,1491,1509,1455,1412,1436,1429,1423,1443,1384,1395,1428,1372,1375,1330,1304,1283,1268,1259,1222,1234,1221,1226,1195,1196,1171,1189,1207,1202,1205,1167,1154,1169,1141,1142,1182,1181,1259,1256,1254,1293,1302,1328,1342,1398,1418,1436,1475,1486,1461,1443,1395,1414,1438,1432,1417,1414,1444,1444
US Idaho,1787065,214045,19382,1084.5716300191,0.2008434971,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,7,9,11,23,31,42,47,50,73,123,186,226,256,304,408,516,658,868,982,1035,1054,1120,1137,1109,1164,1166,1146,1116,1038,939,918,718,642,591,571,566,556,570,483,474,480,471,464,488,397,406,380,393,411.5,370,361,356,342,335,343,348,343,341,340,336,354,358,353.5,349,349,348,356,390,396,405.3333333333,414.6666666667,406,407,418,414,420,435.5,451,457,484,520,516,513,513.6666666667,514.3333333333,521,529,533,550,560,558,556,607,642,689,760,867,966,1065,1182,1385,1563,1795,1920,2105,2290,2577,2738,2850,3123,3364,3603,3798,4137,4324,4563,4780,5186,5366.5,5650,5601,6075,6540,6758,6932,7140,7214,7283,7353,7308,7336,7322,7275,7292,7504,7234,7113,6969,6812,6471,6409,6412,6385,6663,6658,6668,6494,6406,6373,6454,6385,6452,6363,6316,6267,6092,5989,5721,5447,5167,5182,4970,4880,4647,4491,4211,4200,4207,4146,4042,3968,3807,3827,3815,3814,3671,3506,3530,3495,3566,3490,3412,3444,3442,3429,3562,3763,3770,3824,4160,4366,4433,4617,4807,5129,5222,5391,5624,5955,6072,6279,6455,6473,6521,6735,7010,7192,7331,7405,7565,7740,7813,7844,8049,8466,8880,9128,9368,9581,9897,10174,10585,10993,11278,11378,11676,11893,12136,12106,12026,11996,12055,12361,12664,12979,13236,13618,13617,14186,14505,15336,15533,15988,16709,17157,17499,18101,18121,18399,18855,18522,18692,18863,19302,19382
US Illinois,12671821,143793,160947,1270.1173730279,0.2307520262,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5.5,6,6.5,7,19,22,25,32,46,64,93,158,284,417,579.5,747,1040,1261,1516,1843,2512,2992,3444,4531,4964,5835,6692,7273,8319,9604,10207,10989,12014,13213,13884,14861,15689,16256,16968,17253,17613,18038,18671,18803,19101,19246,19510,20030,20512,21771,22597,23051,23858,24855,25762,27185,28480,29345,31142,32332,32903,33124,33939,34102,34308,33838,33124,34919,34343,35019,34314,33952,32692,32645,32068,32186,31813,31684,31711,32563,33010,30174,29608,27896,27086,26460,26069,24749,24818,23412,22073,20471,19094,17453,17122,16741,16255,15494,14604,13815,13144,12643,11652,11216,10880,10555,10214,10005,9085,8889,8979,9107,9285,9398,9372,9637,9738,10020,10296,10402,10630,10611,10763,10749,11014,11138,11555,11964,12272,12417,12400,12759,13147,13637,14051,14377,14936,15304,15922,16528,16800,17031,17618,17966,18335,18541,19056,19609,19972,20474,20599,21115,21276,21605,22109,22873,22714,22802,23275,23527,23589,23905,24094,24189,24664,24933,25469,25348,25538,25704,26215,26508,26639,27151,27024,27162,27214,27644,27539,27291,27124,26652,29953,30403,29913,29682,29394,28574,28820,28698,28939,28409,28114,28088,27901,28597,25226,24949,24948,25044,25183,25694,25998,26491,26811,26953,27289,27185,27517,27627,27860,27773,27824,28200,28286,29068,29870,30182,30646,31769,32802,34291,34880,36729,39376,40563,43355,44615,46712,48424,50307,52190,55446,56781,58768,59917,63165,65513,68899,73169,75904,79013,81815,85011,90004,96794,103071,109018,114862,123485,130032,136371,143297,146426,150077,155487,161572,162956,167633,168855,168308,168311,166060,162906,161627,160947
US Indiana,6732219,92789,87929,1306.0923894484,0.2757311207,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,6,10,12,13.5,15,19,23,28,37,54,77,122,195,252,353,463,628,957,1201,1482,1751,2110,2500,2961,3335,3827,4210,4685,5142,5466,5706,5926,6203,6414,6450,6368,6390,6503,6717,6688,6799,6742,6590,6495,6688,6773,6960,7084,7725,8061,8227,8293,8476,8654,8723,8821,8936,9432,9464,9466,9337,9114,8666,8539,8291,8218,8025,7985,7845,7748,7672,7404,7433,7263,7169,7250,7088,6951,6964,7015,6903,6931,6796,6575,6532,6438,6160,6169,6096,6021,5908,5955,5900,5680,5588,5332,5335,5600,5549,5301,5342,5168,5064,5026,5010,4838,4803,4907,4994,5032,5021,4798,4808,4939,4949,5169,5371,5585,5698,5755,5923,5920,6160,6504,6682,6809,7091,7418,7693,7898,8222,8563,8875,9290,9610,10027,10298,10441,10760,10870,10993,10929,11173,11341,11468,11286,11227,11339,11302,11413,11656,11767,11956,12085,12184,12223,12312,12478,12554,12558,12573,12592,12361,12262,12063,12030,11604,12600,12559,12837,12939,12681,12758,12898,13190,13044,13414,13577,13567,13644,13872,12802,12359,12126,11739,12192,12127,12491,12344,12338,12059,11792,11799,11798,11701,11633,11846,11852,11993,11902,11988,11646,11782,11837,12210,12530,12957,13300,13641,13949,14320,14890,15441,16086,16862,17531,18233,19038,19250,20036,20855,21918,22436,23190,23718,24169,25569,26220,27043,27626,28026,28460,29843,31518,32398,33381,34526,36019,37402,39368,40930,43110,45268,47767,49928,52774,55262,58235,60672,65529,69489,71559,74141,76458,79327,81488,83461,84983,86404,87200,88147,87929
US Iowa,3155070,144669,41483,1314.8044258923,0.2104817186,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,14,16,17,18,22,23,29,38,45,68,90,102,116,132,165,219,281,318,402,474,520,576,654,718,778,841,924,1000,1091,1153,1212,1251,1286,1402,1446,1527,1633,1727,2034,2213,2593,2603,2654,3057,3582,3889,4158,4477,4848,5004,5552,6128,6267,6544,6470,6656,7135,7012,6579,6483,6505,6536,6446,6530,6165,5687,5482,5252,5238,5210,5111,5047,5222,5293,5204,4791,5071,4898,4877,4916,4901,4742,4667,4441,4635,4648,4585,4415,4410,4533,4191,4365,4411,4473,4374,4356,4163,4406,4049,4123,4018,4296,4064,4137,4154,4259,4349,4295,4563,4729,4828,4990,5355,5154,5545,5390,5606,5656,5804,6043,6298,6635,6582,6747,6842,6840,6923,7293,6866,7370,7509,7445,7284,7394,7287,7024,7129,7025,6928,6986,6906,6860,7069,6769,6675,6568,6866,6727,6594,6612,6589,6517,6552,6529,6298,6350,6817,6936,6881,6909,6629,6654,7141,7452,7486,7562,7965,8429,9450,10039,9956,10292,10606,10968,11357,11508,11608,11907,12016,12051,11845,11268,10619,10162,9957,9770,9548,9358,9435,9505,9597,9416,9388,9655,9748,10420,10666,10912,11238,11146,11126,11199,11516,11606,11348,11412,11417,11121,11047,10961,11074,11142,11327,11710,11807,11862,11788,12083,12387,12633,12864,13057,13077,13306,13480,13687,14243,14311,14595,14923,15658,16265,17239,18652,20007,20855,21453,22550,25107,26636,28714,30884,34518,36395,38911,40621,42450,43973,45315,45981,47081,48099,47581,48280,47740,46964,44934,43496,42442,41483
US Kansas,2913314,211754,35431,1216.1751187823,0.239727464,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,6,7,10,14,15,33,43,53,62,80,96,123,164,196,254,311,357,413,466,518,576,643,683,763,802,920,938,964,1007,1018,1008,998,1012,1036,1085,1092,1102,1141,1125,1165,1376,1611,1788,1837,1952,2065,2244,2650,2744,2956,3181,3259,3433,3523,3662,3724,3695,3774,3788,3801,3730,3439,3437,3291.3333333333,3158.6666666667,3095,2981.5,2805,2604.5,2457,2293.6666666667,2183.3333333333,2102,1985.5,1869,1851,1833,1779,1725,1671,1651,1631,1533,1435,1434,1433,1432,1453.5,1475,1401.5,1328,1354.6666666667,1381.3333333333,1408,1459.5,1511,1588.5,1666,1715.6666666666,1765.3333333334,1815,1986.5,2158,2324.5,2491,2668.6666666667,2846.3333333333,3024,3166.5,3309,3584.5,3860,4052,4244,4436,4542,4648,4860.5,5073,5253.6666666666,5434.3333333334,5615,5779,5943,5994.5,6046,6175,6304,6433,6459.5,6486,6492,6498,6370,6242,6114,6025.5,5937,5892,5847,5745.3333333334,5643.6666666666,5542,5577.5,5613,5571,5529,5538.6666666667,5548.3333333333,5558,5617.5,5677,5875,6073,6145.6666666666,6218.3333333334,6291,6232,6173,6195.5,6218,6369,6520,6671,7030.5,7390,7276.5,7163,7257,7351,7445,7747.5,8050,8207,8364,8413.6666666667,8463.3333333333,8513,7993,7473,7405.5,7338,7321,7304,7287,7108.5,6930,6997.5,7065,7058.3333333333,7051.6666666667,7045,7430.5,7816,8011,8206,8380.6666666667,8555.3333333333,8730,8804.5,8879,8852.5,8826,8800.3333333333,8774.6666666667,8749,8737.5,8726,8970.5,9215,9221,9227,9233,9319.5,9406,9575,9744,9916,10088,10260,10382,10504,10463.5,10423,10553.3333333333,10683.6666666667,10814,11852,12890,13608,14326,14970.3333333334,15614.6666666666,16259,17009,17759,19581,21403,22561,23719,24877,26028.5,27180,28753,30326,31388.6666666666,32451.3333333334,33514,34946.5,36379,36639.5,36900,37435.3333333334,37970.6666666666,38506,38539,38572,35431
